gene_symbol,hgnc_id,gene_score,conclusion_code,best_disease_score,best_disease_name,best_omim_id,best_orpha_id,best_mondo_id,best_disease_source_dbs,best_disease_match_status,mapping_basis,second_best_disease_score,score_gap_to_second_best,disease_profile_count,input_hpo_count,scoring_hpo_count,matched_hpo_count,unmatched_hpo_count,mean_input_hpo_ic,candidate_variant_count_in_gene,gene_sources,best_term_evidence_summary,db_versions,warning,sample_id,gene_rank
TANGO2,HGNC:25439,0.583742,PHENOTYPE_MATCH_MODERATE,0.583742,"Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration",616878,480864,MONDO:0018820,OMIM;ORPHA,matched_same_disease,MONDO_equivalentTo,,,1,8,8,8,0,4.941108,8,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0100704:0.539;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->HP:0000646:0.480;HP:0032122->HP:0000646:0.464;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,31
TWIST1,HGNC:12428,0.581185,PHENOTYPE_MATCH_MODERATE,0.581185,Saethre-Chotzen syndrome,101400,794,MONDO:0007042,OMIM;ORPHA,matched_same_disease,MONDO_equivalentTo,0.285292,0.295893,6,8,8,8,0,4.941108,1,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000646:0.514;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->HP:0000646:0.480;HP:0032122->HP:0000646:0.464;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,32
CACNA1A,HGNC:1388,0.574545,PHENOTYPE_MATCH_MODERATE,0.574545,Non-specific early-onset epileptic encephalopathy,,442835,MONDO:0018614,ORPHA,separate_orpha_record,none,0.323363,0.251183,8,8,8,8,0,4.941108,11,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000504:0.671;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000546:0.607;HP:0001117->HP:0000504:0.412;HP:0032122->HP:0000504:0.395;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,33
CACNA1B,HGNC:1389,0.574545,PHENOTYPE_MATCH_MODERATE,0.574545,Non-specific early-onset epileptic encephalopathy,,442835,MONDO:0018614,ORPHA,separate_orpha_record,none,0.290339,0.284207,2,8,8,8,0,4.941108,5,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000504:0.671;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000546:0.607;HP:0001117->HP:0000504:0.412;HP:0032122->HP:0000504:0.395;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,34
CACNA2D1,HGNC:1399,0.574545,PHENOTYPE_MATCH_MODERATE,0.574545,Non-specific early-onset epileptic encephalopathy,,442835,MONDO:0018614,ORPHA,separate_orpha_record,none,0.288424,0.286121,3,8,8,8,0,4.941108,5,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000504:0.671;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000546:0.607;HP:0001117->HP:0000504:0.412;HP:0032122->HP:0000504:0.395;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,35
CELF2,HGNC:2550,0.574545,PHENOTYPE_MATCH_MODERATE,0.574545,Non-specific early-onset epileptic encephalopathy,,442835,MONDO:0018614,ORPHA,separate_orpha_record,none,0.210718,0.363828,2,8,8,8,0,4.941108,11,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000504:0.671;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000546:0.607;HP:0001117->HP:0000504:0.412;HP:0032122->HP:0000504:0.395;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,36
CLTC,HGNC:2092,0.574545,PHENOTYPE_MATCH_MODERATE,0.574545,Non-specific early-onset epileptic encephalopathy,,442835,MONDO:0018614,ORPHA,separate_orpha_record,none,0.336693,0.237853,2,8,8,8,0,4.941108,10,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000504:0.671;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000546:0.607;HP:0001117->HP:0000504:0.412;HP:0032122->HP:0000504:0.395;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,37
CYFIP2,HGNC:13760,0.574545,PHENOTYPE_MATCH_MODERATE,0.574545,Non-specific early-onset epileptic encephalopathy,,442835,MONDO:0018614,ORPHA,separate_orpha_record,none,0.000000,0.574545,2,8,8,8,0,4.941108,5,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000504:0.671;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000546:0.607;HP:0001117->HP:0000504:0.412;HP:0032122->HP:0000504:0.395;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,38
FZR1,HGNC:24824,0.574545,PHENOTYPE_MATCH_MODERATE,0.574545,Non-specific early-onset epileptic encephalopathy,,442835,MONDO:0018614,ORPHA,separate_orpha_record,none,0.000000,0.574545,2,8,8,8,0,4.941108,8,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000504:0.671;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000546:0.607;HP:0001117->HP:0000504:0.412;HP:0032122->HP:0000504:0.395;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,39
GABRG2,HGNC:4087,0.574545,PHENOTYPE_MATCH_MODERATE,0.574545,Non-specific early-onset epileptic encephalopathy,,442835,MONDO:0018614,ORPHA,separate_orpha_record,none,0.210718,0.363828,6,8,8,8,0,4.941108,2,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000504:0.671;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000546:0.607;HP:0001117->HP:0000504:0.412;HP:0032122->HP:0000504:0.395;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,40
