gene,in_network,disease_score,tissue_score,topology_score,ppi_final,score_mode,score_weight_sum,note,gene_in_d,gene_d_evidence_score,gene_in_t,gene_t_weight,mapped_tissues_json,d_gene_count,t_gene_count
CDH2,True,0.8,0.6666666666666666,0.9580294844206287,0.7795073711051572,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
PRKN,True,0.8,0.6666666666666666,0.9558730446847487,0.7789682611711872,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
NT5E,True,0.8,0.6666666666666666,0.944819861617286,0.7762049654043215,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
COL4A1,True,1.0,0.6666666666666666,0.6977527551344422,0.7744381887836105,FULL_ANCHOR,1.0,OK,True,2.1,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
BAIAP2,True,0.6799999999999999,0.8333333333333333,0.780750072555873,0.7741875181389682,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
SUCLG1,True,0.8,0.6666666666666666,0.9366187885297831,0.7741546971324458,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
GALC,True,1.0,0.6666666666666666,0.6846941562645247,0.7711735390661312,FULL_ANCHOR,1.0,OK,True,2.1,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
MYH9,True,0.8,0.6666666666666666,0.9243671776156339,0.7710917944039085,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
RUNX1,True,0.56,0.8,0.9709227428817342,0.7707306857204336,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
ITSN1,True,0.56,0.8333333333333333,0.905162092622942,0.7692905231557355,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
MSH2,True,0.8,0.6666666666666666,0.9159926994791205,0.7689981748697802,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
NRXN1,True,0.8,0.6666666666666666,0.9149728168216401,0.7687432042054101,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
COX4I1,True,0.8,0.6666666666666666,0.8972423446641891,0.7643105861660473,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
KCNQ2,True,0.8,0.6666666666666666,0.8837912613852674,0.760947815346317,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
SNAI1,True,0.56,0.8,0.9290723586459128,0.7602680896614782,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
DLAT,True,0.8,0.6666666666666666,0.8760518666849555,0.7590129666712389,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
CTR9,True,0.6799999999999999,0.8333333333333333,0.7189191379780979,0.7587297844945244,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
AGRN,True,0.8,0.6666666666666666,0.8630181078416539,0.7557545269604136,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
IREB2,True,0.8,0.6666666666666666,0.8615589919867687,0.7553897479966922,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
ITGA2B,True,0.56,0.8,0.9091733493770631,0.7552933373442658,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
RAD51B,True,0.6799999999999999,0.8,0.7647139987303844,0.7551784996825961,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
PUS1,True,0.6799999999999999,0.8,0.759606226902405,0.7539015567256013,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
NFATC1,True,0.6799999999999999,0.8,0.7537600879389492,0.7524400219847374,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
CRPPA,True,0.8,0.8,0.6086610518801875,0.7521652629700469,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
TCEA1,True,0.8,0.6666666666666666,0.8468912540150314,0.7517228135037579,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
CDC34,True,0.56,0.8333333333333333,0.8284129409366414,0.7501032352341603,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
FDX1,True,0.8,0.6666666666666666,0.8357252636634784,0.7489313159158697,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
SCN2A,True,0.6799999999999999,0.8,0.7389485708598079,0.7487371427149521,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
