final_rank,gene,combined_score,gene_score,ppi_final,in_network,disease_score,tissue_score,topology_score,score_mode,score_weight_sum,note,gene_in_d,gene_d_evidence_score,gene_in_t,gene_t_weight,mapped_tissues_json,d_gene_count,t_gene_count,gene_rank,ppi_rank,best_pathogenic_rank,variant_row_count,max_cadd_phred,mapped_tissues,mapped_tissue_counts_json,conclusion_code,best_disease_score,best_disease_name,best_omim_id,best_orpha_id,best_mondo_id,best_disease_match_status,mapping_basis
,PSMD3,,,0.7960478722441175,True,0.44,1.0,0.8561914889764697,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370,4854.0,43,,5.0,0.063,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",NO_GENE_DISEASE_MODEL,,,,,,,
,CDH17,,,0.7952135710683016,True,0.6799999999999999,0.8,0.924854284273206,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370,1037.0,44,,5.0,0.622,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",NO_GENE_DISEASE_MODEL,,,,,,,
,PARP1,,,0.786930688420157,True,0.8,0.6666666666666666,0.9877227536806279,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370,4649.0,50,,5.0,2.856,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",NO_GENE_DISEASE_MODEL,,,,,,,
,DHX15,,,0.7866835168985005,True,0.32,1.0,0.9627340675940017,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370,1227.0,52,,5.0,5.5,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",NO_GENE_DISEASE_MODEL,,,,,,,
,CANX,,,0.7821596729173548,True,0.8,0.6666666666666666,0.9686386916694192,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370,968.0,57,,5.0,6.351,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",NO_GENE_DISEASE_MODEL,,,,,,,
,ITSN1,,,0.7692905231557355,True,0.56,0.8333333333333333,0.905162092622942,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370,3801.0,69,,10.0,1.963,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",NO_GENE_DISEASE_MODEL,,,,,,,
,SNAI1,,,0.7602680896614782,True,0.56,0.8,0.9290723586459128,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370,5240.0,74,,2.0,3.983,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",NO_GENE_DISEASE_MODEL,,,,,,,
,RAD51B,,,0.7551784996825961,True,0.6799999999999999,0.8,0.7647139987303844,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370,4901.0,80,,5.0,0.087,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",NO_GENE_DISEASE_MODEL,,,,,,,
,NFATC1,,,0.7524400219847374,True,0.6799999999999999,0.8,0.7537600879389492,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370,4517.0,82,,10.0,0.289,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",NO_GENE_DISEASE_MODEL,,,,,,,
,TCEA1,,,0.7517228135037579,True,0.8,0.6666666666666666,0.8468912540150314,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370,5379.0,84,,5.0,13.63,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",NO_GENE_DISEASE_MODEL,,,,,,,
